 Fold  ID_PATCH  N_Parcel  Parcel_Cover   TILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               dates-S2    id                                                                                                                                                           geometry
    1     10000       119      0.808032 t30uxv                                                                                                                                                                                                                                                                                                 {'0': 20180924, '1': 20180929, '2': 20181004, '3': 20181009, '4': 20181019, '5': 20181024, '6': 20181029, '7': 20181108, '8': 20181113, '9': 20181118, '10': 20181123, '11': 20190117, '12': 20190122, '13': 20190216, '14': 20190221, '15': 20190226, '16': 20190313, '17': 20190328, '18': 20190412, '19': 20190422, '20': 20190427, '21': 20190512, '22': 20190527, '23': 20190601, '24': 20190606, '25': 20190621, '26': 20190626, '27': 20190701, '28': 20190706, '29': 20190711, '30': 20190716, '31': 20190731, '32': 20190810, '33': 20190815, '34': 20190820, '35': 20190825, '36': 20190830, '37': 20190904, '38': 20190914, '39': 20190919, '40': 20190924, '41': 20191009, '42': 20191019} 10000      MULTIPOLYGON (((391504.73555 6956805.91524, 392781.90613 6956707.26166, 392683.24883 6955430.10128, 391406.09215 6955528.74838, 391504.73555 6956805.91524)))
    5     20248        83      0.516671 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20248             POLYGON ((860124.14393 6325070.47218, 861404.24254 6325071.84829, 861405.62727 6323791.74729, 860125.51764 6323790.36496, 860124.14393 6325070.47218))
    2     20249       142      0.827258 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20249             POLYGON ((892106.96671 6339186.76500, 893386.77603 6339188.33424, 893388.35425 6337908.52342, 892108.53444 6337906.94671, 892106.96671 6339186.76500))
    3     20250        32      0.311958 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20250             POLYGON ((898519.11520 6328956.17478, 899798.97200 6328957.85815, 899800.66467 6327677.99976, 898520.79697 6327676.30869, 898519.11520 6328956.17478))
    1     20251        30      0.698821 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20251             POLYGON ((831986.56427 6296875.25976, 833267.04133 6296876.50688, 833268.29706 6295596.02635, 831987.80791 6295594.77411, 831986.56427 6296875.25976))
    5     20252        83      0.592772 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20252             POLYGON ((846025.71988 6342977.34311, 847305.73496 6342978.51871, 847306.91857 6341698.50132, 846026.89316 6341697.32003, 846025.71988 6342977.34311))
    5     20253        31      0.751324 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20253             POLYGON ((837114.95438 6290477.87453, 838395.47154 6290479.19650, 838396.80233 6289198.67583, 837116.27283 6289197.34856, 837114.95438 6290477.87453))
    1     20254       129      0.862639 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20254             POLYGON ((890831.84381 6335345.69747, 892111.69223 6335347.27850, 892113.28228 6334067.42847, 890833.42322 6334065.84003, 890831.84381 6335345.69747))
    1     20255        11      0.215743 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20255             POLYGON ((869089.07354 6321240.11484, 870369.16061 6321241.58766, 870370.64230 6319961.49829, 869090.54405 6319960.01891, 869089.07354 6321240.11484))
    5     20256        54      0.799920 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20256             POLYGON ((835847.72858 6277670.69014, 837128.37665 6277672.05237, 837129.74793 6276391.40051, 835849.08702 6276390.03303, 835847.72858 6277670.69014))
    2     20257        30      0.169510 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20257             POLYGON ((879414.15970 6258516.05874, 880694.79875 6258517.96076, 880696.71104 6257237.31838, 879416.05839 6257235.40944, 879414.15970 6258516.05874))
    5     20259        49      0.434436 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20259             POLYGON ((893469.03740 6279025.04241, 894749.38635 6279026.97441, 894751.32850 6277746.62280, 893470.96674 6277744.68332, 893469.03740 6279025.04241))
    4     20260        26      0.501192 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20260             POLYGON ((838414.58785 6272550.76384, 839695.27695 6272552.17310, 839696.69540 6271271.48016, 838415.99327 6271270.06556, 838414.58785 6272550.76384))
    3     20261        41      0.548135 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20261             POLYGON ((903699.58928 6286722.37736, 904979.80093 6286724.36459, 904981.79836 6285444.15062, 903701.57418 6285442.15552, 903699.58928 6286722.37736))
    1     20262        88      0.435734 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20262             POLYGON ((828108.03801 6339121.64158, 829388.15897 6339122.68812, 829389.21323 6337842.56444, 828109.08182 6337841.51291, 828108.03801 6339121.64158))
    2     20263       140      0.378201 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20263             POLYGON ((821709.34746 6336556.24907, 822989.51372 6336557.25295, 822990.52525 6335277.08379, 821710.34843 6335276.07517, 821709.34746 6336556.24907))
    3     20264       118      0.738163 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20264             POLYGON ((849866.95218 6341700.89493, 851146.96029 6341702.10726, 851148.18072 6340422.09689, 849868.16224 6340420.87872, 849866.95218 6341700.89493))
    2     20265        39      0.472783 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20265             POLYGON ((871686.90055 6290517.89329, 872967.25633 6290519.54811, 872968.92065 6289239.18948, 871688.55250 6289237.52802, 871686.90055 6290517.89329))
    4     20266       118      0.444686 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20266             POLYGON ((885747.84703 6307179.43283, 887027.97038 6307181.12996, 887029.67697 6305901.00435, 885749.54189 6305899.30003, 885747.84703 6307179.43283))
    4     20267        43      0.205588 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20267             POLYGON ((846059.38443 6308412.94434, 847339.69553 6308414.27328, 847341.03312 6307133.95919, 846060.71037 6307132.62460, 846059.38443 6308412.94434))
    3     20268        87      0.428522 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20268             POLYGON ((865274.07076 6299472.24590, 866554.37400 6299473.79424, 866555.93155 6298193.48820, 865275.61629 6298191.93346, 865274.07076 6299472.24590))
    4     20269        61      0.385739 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20269             POLYGON ((899853.11179 6290557.15133, 901133.30951 6290559.07786, 901135.24610 6289278.87781, 899855.03598 6289276.94356, 899853.11179 6290557.15133))
    1     20270        80      0.510879 t31tfj {'0': 20180917, '1': 20180922, '2': 20180927, '3': 20181002, '4': 20181007, '5': 20181022, '6': 20181101, '7': 20181116, '8': 20181126, '9': 20181201, '10': 20181206, '11': 20181211, '12': 20181226, '13': 20181231, '14': 20190105, '15': 20190110, '16': 20190115, '17': 20190125, '18': 20190130, '19': 20190204, '20': 20190214, '21': 20190219, '22': 20190301, '23': 20190311, '24': 20190316, '25': 20190321, '26': 20190326, '27': 20190331, '28': 20190405, '29': 20190415, '30': 20190420, '31': 20190430, '32': 20190505, '33': 20190510, '34': 20190515, '35': 20190525, '36': 20190530, '37': 20190604, '38': 20190614, '39': 20190619, '40': 20190624, '41': 20190629, '42': 20190704, '43': 20190714, '44': 20190719, '45': 20190724, '46': 20190729, '47': 20190803, '48': 20190808, '49': 20190813, '50': 20190818, '51': 20190823, '52': 20190902, '53': 20190907, '54': 20190912, '55': 20190917, '56': 20190927, '57': 20191002, '58': 20191007, '59': 20191017, '60': 20191027} 20270             POLYGON ((828111.18434 6335281.22406, 829391.33681 6335282.28558, 829392.40613 6334002.13030, 828112.24304 6334001.06379, 828111.18434 6335281.22406))
